"Area.ID","Year","0","1","2","3","4","5","6","7","8","9"
1,"2010",2327,568,214,297,8,8,11,0,3234,467
1,"2011",2283,576,204,319,11,8,13,10,3368,367
1,"2012",2448,650,254,331,3,8,15,34,3938,389
1,"2013",2377,662,236,299,8,8,16,23,3590,349
1,"2014",2810,746,217,284,6,5,8,27,3887,361
1,"2015",3346,842,310,335,11,11,20,20,5054,303
1,"2016",3465,981,314,338,11,15,13,20,5289,348
1,"2017",2803,777,226,225,15,12,8,24,4060,292
2,"2010",2844,806,235,484,17,8,23,11,3701,548
2,"2011",2760,752,262,540,13,20,17,15,3550,478
2,"2012",2616,727,279,605,20,14,24,21,3823,436
2,"2013",2593,764,193,588,13,8,26,19,3455,451
2,"2014",2778,825,220,553,14,13,26,17,3699,368
2,"2015",2958,898,246,476,11,25,13,13,4151,418
2,"2016",2815,968,230,427,22,20,15,13,4174,432
2,"2017",2202,744,174,253,8,18,8,10,3196,369
3,"2010",3876,1176,321,884,16,13,38,24,6689,583
3,"2011",3592,1181,326,901,22,17,36,34,6181,601
3,"2012",3747,1165,368,943,17,9,34,23,6174,593
3,"2013",3477,1175,292,997,26,10,30,15,6088,553
3,"2014",3839,1187,334,813,25,14,30,24,6098,540
3,"2015",3963,1207,375,841,21,15,36,15,6728,576
3,"2016",4046,1407,325,722,33,18,26,28,6759,689
3,"2017",2930,1025,231,369,12,15,21,18,5010,525
4,"2010",2119,771,222,473,21,9,19,7,3311,422
4,"2011",1978,707,218,450,19,9,17,7,2763,351
4,"2012",1934,742,216,490,19,3,17,14,3321,293
4,"2013",1871,725,205,419,17,2,17,7,3104,308
4,"2014",1995,732,173,428,16,1,16,5,3115,392
4,"2015",2386,860,195,472,12,8,16,12,3577,432
4,"2016",2808,1017,202,402,14,10,17,8,4072,541
4,"2017",1999,776,156,247,12,9,11,4,2873,477
5,"2010",2214,1092,225,707,17,3,26,1,4633,642
5,"2011",2360,1125,222,652,31,4,13,2,4781,620
5,"2012",2295,951,265,646,19,5,11,4,4632,571
5,"2013",1911,938,176,651,13,5,17,4,4166,499
5,"2014",2033,906,173,533,5,8,29,7,4032,532
5,"2015",2077,1044,227,694,10,8,16,12,4836,557
5,"2016",2383,1058,236,469,20,11,13,14,4566,697
5,"2017",1879,855,200,326,14,8,3,16,3411,474
6,"2010",2289,964,296,635,11,7,7,33,4595,345
6,"2011",2375,966,289,632,8,9,14,34,4628,275
6,"2012",2287,921,348,777,6,20,17,36,4576,301
6,"2013",2141,841,372,743,7,15,9,26,4115,244
6,"2014",2225,859,306,601,7,14,11,30,4161,300
6,"2015",2430,989,318,702,8,40,8,23,4854,354
6,"2016",2551,1072,387,659,7,27,11,27,5326,394
6,"2017",1994,848,333,387,2,19,4,29,3995,308
7,"2010",1668,782,287,764,5,5,11,0,4296,341
7,"2011",1610,766,278,818,5,4,9,0,4455,309
7,"2012",1639,683,270,766,9,6,15,2,4278,354
7,"2013",1518,626,182,758,6,5,8,6,4377,311
7,"2014",1657,714,229,736,8,6,14,7,4211,299
7,"2015",1654,756,213,804,4,18,12,8,4493,300
7,"2016",1730,902,237,798,5,14,7,10,4911,354
7,"2017",1321,691,219,375,6,11,8,10,3904,294
8,"2010",1290,795,443,898,3,6,8,4,4426,281
8,"2011",1220,773,390,925,2,5,8,3,4981,279
8,"2012",1294,815,404,1091,3,4,6,9,4715,228
8,"2013",1316,719,332,909,3,10,4,10,4581,254
8,"2014",1331,750,345,920,4,10,3,4,4501,283
8,"2015",1680,830,462,1185,2,30,10,5,5108,335
8,"2016",1420,795,360,1097,1,24,3,4,5274,329
8,"2017",1005,533,223,546,2,24,13,3,3824,180
9,"2010",2158,1038,408,1004,6,18,22,3,4907,486
9,"2011",2087,1045,383,972,5,10,24,5,4457,503
9,"2012",2077,977,344,1083,5,27,22,8,4573,489
9,"2013",1968,878,323,1079,4,12,12,4,4661,391
9,"2014",2204,920,361,999,7,21,15,11,4388,477
9,"2015",2376,1021,390,1172,8,30,18,9,4917,479
9,"2016",2218,914,348,1114,7,33,22,15,5194,470
9,"2017",1609,658,260,651,6,29,11,6,3915,394
10,"2010",1965,888,481,920,3,5,18,5,4471,464
10,"2011",1793,875,400,983,5,4,16,7,4265,463
10,"2012",1804,953,424,1014,4,5,17,22,4372,362
10,"2013",1699,813,375,976,4,9,28,12,4005,430
10,"2014",1678,724,319,888,4,6,15,35,3813,391
10,"2015",1682,805,303,1033,5,23,9,16,4313,429
10,"2016",1790,863,345,1049,5,24,16,16,4996,437
10,"2017",1455,612,264,756,7,24,12,12,3553,382
11,"2010",2448,1181,393,925,8,8,14,19,5130,471
11,"2011",2194,1091,377,981,12,5,23,25,4748,355
11,"2012",2216,1072,322,887,12,4,26,16,4893,370
11,"2013",1940,1039,337,893,9,6,11,16,4610,383
11,"2014",2150,1143,317,735,7,7,11,22,4825,423
11,"2015",2171,1194,318,883,13,14,14,20,5158,432
11,"2016",2122,1050,296,709,10,11,18,15,5570,490
11,"2017",1670,797,248,435,3,10,10,17,4067,329
12,"2010",4809,1312,356,762,39,49,62,18,6180,821
12,"2011",4623,1215,300,918,32,26,52,34,6365,649
12,"2012",4640,1231,308,930,51,28,53,34,6325,644
12,"2013",4391,1219,272,842,38,17,39,24,6226,623
12,"2014",4808,1480,271,742,50,26,48,26,5814,735
12,"2015",4953,1445,307,790,53,35,72,37,6109,752
12,"2016",5006,1564,273,645,45,27,67,32,6671,922
12,"2017",3759,1121,197,389,39,13,33,19,4884,679
13,"2010",3067,863,228,375,39,17,31,17,4836,491
13,"2011",2806,759,237,398,36,12,31,21,4588,439
13,"2012",2684,798,166,420,16,7,25,16,4405,325
13,"2013",2470,743,181,392,14,2,30,27,4441,291
13,"2014",2961,874,174,398,16,17,20,16,4343,359
13,"2015",3130,920,186,334,27,15,16,10,4470,485
13,"2016",3429,1073,219,328,20,13,27,12,5264,570
13,"2017",2591,860,123,204,14,19,21,4,4257,478
14,"2010",1757,1116,317,735,2,10,12,3,6641,483
14,"2011",1696,1030,315,654,7,6,9,12,6168,467
14,"2012",1523,995,307,832,5,13,8,15,6162,434
14,"2013",1665,936,253,810,6,2,9,21,5981,396
14,"2014",1788,1045,261,785,1,4,11,31,6395,397
14,"2015",1993,1045,287,957,10,11,10,26,6978,350
14,"2016",1998,1038,281,831,7,12,7,20,7122,364
14,"2017",1614,785,235,529,4,11,7,25,5112,316
15,"2010",2243,1184,438,1113,13,10,25,6,5919,377
15,"2011",2221,1194,368,1042,7,17,22,2,5427,367
15,"2012",2308,1186,472,1191,9,17,14,9,5594,428
15,"2013",2073,1041,399,1141,2,9,17,10,5720,475
15,"2014",2107,1090,356,1033,7,19,22,10,5259,431
15,"2015",2361,1123,399,1416,7,25,19,15,5890,460
15,"2016",2274,1151,401,1202,12,16,5,6,6402,456
15,"2017",1919,912,335,774,5,24,15,1,4590,427
16,"2010",2360,938,322,816,14,14,20,35,4341,443
16,"2011",2120,847,321,779,13,3,24,73,3851,446
16,"2012",1898,843,323,764,18,13,18,58,3542,413
16,"2013",1719,832,255,665,10,18,19,43,3550,333
16,"2014",1806,765,218,753,14,7,19,25,3134,340
16,"2015",1834,821,201,725,13,10,12,18,3606,403
16,"2016",1979,949,233,628,10,12,8,13,3624,376
16,"2017",1424,634,173,428,4,12,13,9,2736,333
17,"2010",1782,1122,396,981,3,4,22,11,5828,451
17,"2011",1753,1001,384,980,5,5,6,11,5033,431
17,"2012",1656,912,449,955,7,1,12,14,4995,386
17,"2013",1435,800,389,974,4,8,9,18,4636,362
17,"2014",1656,742,362,923,2,4,10,7,4539,352
17,"2015",1814,822,383,1160,3,12,10,6,5411,343
17,"2016",1750,831,355,1153,7,24,10,11,5742,370
17,"2017",1290,655,234,700,2,5,11,10,4408,321
18,"2010",3684,1046,214,547,46,20,56,19,4905,504
18,"2011",3681,994,280,532,46,17,54,23,4873,519
18,"2012",3572,1030,225,550,43,14,47,21,4530,519
18,"2013",3427,1052,185,464,47,15,36,11,4460,449
18,"2014",3708,1059,187,417,41,12,33,29,4504,511
18,"2015",3761,1188,198,401,34,16,24,29,4740,651
18,"2016",3823,1270,189,390,26,13,41,39,4957,636
18,"2017",2843,908,145,211,26,12,23,18,3825,525
19,"2010",2780,1101,409,937,14,16,24,17,4592,629
19,"2011",2761,1107,394,914,11,8,24,19,4669,589
19,"2012",2810,1039,416,901,13,9,34,21,4700,585
19,"2013",2417,1070,365,843,12,9,21,27,4894,569
19,"2014",2483,981,343,935,14,12,17,20,4498,566
19,"2015",2738,1051,320,973,17,31,24,10,4785,603
19,"2016",2733,1184,370,891,15,28,16,16,5077,591
19,"2017",2021,763,290,628,11,20,14,13,3532,472
20,"2010",2340,771,293,692,4,20,20,4,4132,448
20,"2011",2207,734,265,655,6,14,18,2,3634,422
20,"2012",2369,714,244,813,14,7,20,8,3929,366
20,"2013",2445,767,238,741,4,5,17,3,3710,330
20,"2014",2848,873,269,702,10,7,14,5,4056,330
20,"2015",2704,901,226,693,10,24,14,5,4789,405
20,"2016",2787,1053,252,626,8,15,17,10,5250,432
20,"2017",2084,740,179,377,8,14,8,7,4267,321
21,"2010",1950,946,494,924,7,9,21,7,4992,533
21,"2011",1746,802,420,929,2,8,16,16,4709,440
21,"2012",1625,812,420,966,5,8,16,12,4627,408
21,"2013",1679,822,394,915,3,6,7,14,4809,398
21,"2014",1810,773,320,889,2,15,16,10,4561,335
21,"2015",1990,769,409,1146,4,21,12,11,5060,415
21,"2016",2093,906,380,1140,9,26,10,14,5855,455
21,"2017",1502,662,281,696,1,20,7,5,4126,335
