"Area.Name","Year","0","1","2","3","4","5","6","7","8","9"
"77th Street","2010",4809,1312,356,762,39,49,62,18,6180,821
"77th Street","2011",4623,1215,300,918,32,26,52,34,6365,649
"77th Street","2012",4640,1231,308,930,51,28,53,34,6325,644
"77th Street","2013",4391,1219,272,842,38,17,39,24,6226,623
"77th Street","2014",4808,1480,271,742,50,26,48,26,5814,735
"77th Street","2015",4953,1445,307,790,53,35,72,37,6109,752
"Central","2010",2327,568,214,297,8,8,11,0,3234,467
"Central","2011",2283,576,204,319,11,8,13,10,3368,367
"Central","2012",2448,650,254,331,3,8,15,34,3938,389
"Central","2013",2377,662,236,299,8,8,16,23,3590,349
"Central","2014",2810,746,217,284,6,5,8,27,3887,361
"Central","2015",3346,842,310,335,11,11,20,20,5054,303
"Devonshire","2010",1782,1122,396,981,3,4,22,11,5828,451
"Devonshire","2011",1753,1001,384,980,5,5,6,11,5033,431
"Devonshire","2012",1656,912,449,955,7,1,12,14,4995,386
"Devonshire","2013",1435,800,389,974,4,8,9,18,4636,362
"Devonshire","2014",1656,742,362,923,2,4,10,7,4539,352
"Devonshire","2015",1814,822,383,1160,3,12,10,6,5411,343
"Foothill","2010",2360,938,322,816,14,14,20,35,4341,443
"Foothill","2011",2120,847,321,779,13,3,24,73,3851,446
"Foothill","2012",1898,843,323,764,18,13,18,58,3542,413
"Foothill","2013",1719,832,255,665,10,18,19,43,3550,333
"Foothill","2014",1806,765,218,753,14,7,19,25,3134,340
"Foothill","2015",1834,821,201,725,13,10,12,18,3606,403
"Harbor","2010",2214,1092,225,707,17,3,26,1,4633,642
"Harbor","2011",2360,1125,222,652,31,4,13,2,4781,620
"Harbor","2012",2295,951,265,646,19,5,11,4,4632,571
"Harbor","2013",1911,938,176,651,13,5,17,4,4166,499
"Harbor","2014",2033,906,173,533,5,8,29,7,4032,532
"Harbor","2015",2077,1044,227,694,10,8,16,12,4836,557
"Hollenbeck","2010",2119,771,222,473,21,9,19,7,3311,422
"Hollenbeck","2011",1978,707,218,450,19,9,17,7,2763,351
"Hollenbeck","2012",1934,742,216,490,19,3,17,14,3321,293
"Hollenbeck","2013",1871,725,205,419,17,2,17,7,3104,308
"Hollenbeck","2014",1995,732,173,428,16,1,16,5,3115,392
"Hollenbeck","2015",2386,860,195,472,12,8,16,12,3577,432
"Hollywood","2010",2289,964,296,635,11,7,7,33,4595,345
"Hollywood","2011",2375,966,289,632,8,9,14,34,4628,275
"Hollywood","2012",2287,921,348,777,6,20,17,36,4576,301
"Hollywood","2013",2141,841,372,743,7,15,9,26,4115,244
"Hollywood","2014",2225,859,306,601,7,14,11,30,4161,300
"Hollywood","2015",2430,989,318,702,8,40,8,23,4854,354
"Mission","2010",2780,1101,409,937,14,16,24,17,4592,629
"Mission","2011",2761,1107,394,914,11,8,24,19,4669,589
"Mission","2012",2810,1039,416,901,13,9,34,21,4700,585
"Mission","2013",2417,1070,365,843,12,9,21,27,4894,569
"Mission","2014",2483,981,343,935,14,12,17,20,4498,566
"Mission","2015",2738,1051,320,973,17,31,24,10,4785,603
"N Hollywood","2010",2243,1184,438,1113,13,10,25,6,5919,377
"N Hollywood","2011",2221,1194,368,1042,7,17,22,2,5427,367
"N Hollywood","2012",2308,1186,472,1191,9,17,14,9,5594,428
"N Hollywood","2013",2073,1041,399,1141,2,9,17,10,5720,475
"N Hollywood","2014",2107,1090,356,1033,7,19,22,10,5259,431
"N Hollywood","2015",2361,1123,399,1416,7,25,19,15,5890,460
"Newton","2010",3067,863,228,375,39,17,31,17,4836,491
"Newton","2011",2806,759,237,398,36,12,31,21,4588,439
"Newton","2012",2684,798,166,420,16,7,25,16,4405,325
"Newton","2013",2470,743,181,392,14,2,30,27,4441,291
"Newton","2014",2961,874,174,398,16,17,20,16,4343,359
"Newton","2015",3130,920,186,334,27,15,16,10,4470,485
"Northeast","2010",2448,1181,393,925,8,8,14,19,5130,471
"Northeast","2011",2194,1091,377,981,12,5,23,25,4748,355
"Northeast","2012",2216,1072,322,887,12,4,26,16,4893,370
"Northeast","2013",1940,1039,337,893,9,6,11,16,4610,383
"Northeast","2014",2150,1143,317,735,7,7,11,22,4825,423
"Northeast","2015",2171,1194,318,883,13,14,14,20,5158,432
"Olympic","2010",2340,771,293,692,4,20,20,4,4132,448
"Olympic","2011",2207,734,265,655,6,14,18,2,3634,422
"Olympic","2012",2369,714,244,813,14,7,20,8,3929,366
"Olympic","2013",2445,767,238,741,4,5,17,3,3710,330
"Olympic","2014",2848,873,269,702,10,7,14,5,4056,330
"Olympic","2015",2704,901,226,693,10,24,14,5,4789,405
"Pacific","2010",1757,1116,317,735,2,10,12,3,6641,483
"Pacific","2011",1696,1030,315,654,7,6,9,12,6168,467
"Pacific","2012",1523,995,307,832,5,13,8,15,6162,434
"Pacific","2013",1665,936,253,810,6,2,9,21,5981,396
"Pacific","2014",1788,1045,261,785,1,4,11,31,6395,397
"Pacific","2015",1993,1045,287,957,10,11,10,26,6978,350
"Rampart","2010",2844,806,235,484,17,8,23,11,3701,548
"Rampart","2011",2760,752,262,540,13,20,17,15,3550,478
"Rampart","2012",2616,727,279,605,20,14,24,21,3823,436
"Rampart","2013",2593,764,193,588,13,8,26,19,3455,451
"Rampart","2014",2778,825,220,553,14,13,26,17,3699,368
"Rampart","2015",2958,898,246,476,11,25,13,13,4151,418
"Southeast","2010",3684,1046,214,547,46,20,56,19,4905,504
"Southeast","2011",3681,994,280,532,46,17,54,23,4873,519
"Southeast","2012",3572,1030,225,550,43,14,47,21,4530,519
"Southeast","2013",3427,1052,185,464,47,15,36,11,4460,449
"Southeast","2014",3708,1059,187,417,41,12,33,29,4504,511
"Southeast","2015",3761,1188,198,401,34,16,24,29,4740,651
"Southwest","2010",3876,1176,321,884,16,13,38,24,6689,583
"Southwest","2011",3592,1181,326,901,22,17,36,34,6181,601
"Southwest","2012",3747,1165,368,943,17,9,34,23,6174,593
"Southwest","2013",3477,1175,292,997,26,10,30,15,6088,553
"Southwest","2014",3839,1187,334,813,25,14,30,24,6098,540
"Southwest","2015",3963,1207,375,841,21,15,36,15,6728,576
"Topanga","2010",1950,946,494,924,7,9,21,7,4992,533
"Topanga","2011",1746,802,420,929,2,8,16,16,4709,440
"Topanga","2012",1625,812,420,966,5,8,16,12,4627,408
"Topanga","2013",1679,822,394,915,3,6,7,14,4809,398
"Topanga","2014",1810,773,320,889,2,15,16,10,4561,335
"Topanga","2015",1990,769,409,1146,4,21,12,11,5060,415
"Van Nuys","2010",2158,1038,408,1004,6,18,22,3,4907,486
"Van Nuys","2011",2087,1045,383,972,5,10,24,5,4457,503
"Van Nuys","2012",2077,977,344,1083,5,27,22,8,4573,489
"Van Nuys","2013",1968,878,323,1079,4,12,12,4,4661,391
"Van Nuys","2014",2204,920,361,999,7,21,15,11,4388,477
"Van Nuys","2015",2376,1021,390,1172,8,30,18,9,4917,479
"West LA","2010",1290,795,443,898,3,6,8,4,4426,281
"West LA","2011",1220,773,390,925,2,5,8,3,4981,279
"West LA","2012",1294,815,404,1091,3,4,6,9,4715,228
"West LA","2013",1316,719,332,909,3,10,4,10,4581,254
"West LA","2014",1331,750,345,920,4,10,3,4,4501,283
"West LA","2015",1680,830,462,1185,2,30,10,5,5108,335
"West Valley","2010",1965,888,481,920,3,5,18,5,4471,464
"West Valley","2011",1793,875,400,983,5,4,16,7,4265,463
"West Valley","2012",1804,953,424,1014,4,5,17,22,4372,362
"West Valley","2013",1699,813,375,976,4,9,28,12,4005,430
"West Valley","2014",1678,724,319,888,4,6,15,35,3813,391
"West Valley","2015",1682,805,303,1033,5,23,9,16,4313,429
"Wilshire","2010",1668,782,287,764,5,5,11,0,4296,341
"Wilshire","2011",1610,766,278,818,5,4,9,0,4455,309
"Wilshire","2012",1639,683,270,766,9,6,15,2,4278,354
"Wilshire","2013",1518,626,182,758,6,5,8,6,4377,311
"Wilshire","2014",1657,714,229,736,8,6,14,7,4211,299
"Wilshire","2015",1654,756,213,804,4,18,12,8,4493,300
