"Area.Name","Year","Assault and Battery","Destruction of Property","Domestic Disturbance","Fraud","Homicide","Human Trafficking","Kidnapping","Miscellaneous White-Collar Crime","Resisting Arrest","Theft","NA"
"77th Street","2010",4809,1312,356,762,39,49,62,821,18,6180,2
"77th Street","2011",4623,1215,300,918,32,26,52,649,34,6365,0
"77th Street","2012",4640,1231,308,930,51,28,53,644,34,6325,1
"77th Street","2013",4391,1219,272,842,38,17,39,623,24,6226,0
"77th Street","2014",4808,1480,271,742,50,26,48,735,26,5814,0
"77th Street","2015",4953,1445,307,790,53,35,72,752,37,6109,9
"77th Street","2016",5006,1564,273,645,45,27,67,922,32,6671,27
"77th Street","2017",3759,1121,197,389,39,13,33,679,19,4884,22
"Central","2010",2327,568,214,297,8,8,11,467,0,3234,1
"Central","2011",2283,576,204,319,11,8,13,367,10,3368,0
"Central","2012",2448,650,254,331,3,8,15,389,34,3938,0
"Central","2013",2377,662,236,299,8,8,16,349,23,3590,1
"Central","2014",2810,746,217,284,6,5,8,361,27,3887,0
"Central","2015",3346,842,310,335,11,11,20,303,20,5054,0
"Central","2016",3465,981,314,338,11,15,13,348,20,5289,4
"Central","2017",2803,777,226,225,15,12,8,292,24,4060,10
"Devonshire","2010",1782,1122,396,981,3,4,22,451,11,5828,0
"Devonshire","2011",1753,1001,384,980,5,5,6,431,11,5033,0
"Devonshire","2012",1656,912,449,955,7,1,12,386,14,4995,0
"Devonshire","2013",1435,800,389,974,4,8,9,362,18,4636,0
"Devonshire","2014",1656,742,362,923,2,4,10,352,7,4539,0
"Devonshire","2015",1814,822,383,1160,3,12,10,343,6,5411,1
"Devonshire","2016",1750,831,355,1153,7,24,10,370,11,5742,4
"Devonshire","2017",1290,655,234,700,2,5,11,321,10,4408,3
"Foothill","2010",2360,938,322,816,14,14,20,443,35,4341,0
"Foothill","2011",2120,847,321,779,13,3,24,446,73,3851,0
"Foothill","2012",1898,843,323,764,18,13,18,413,58,3542,0
"Foothill","2013",1719,832,255,665,10,18,19,333,43,3550,1
"Foothill","2014",1806,765,218,753,14,7,19,340,25,3134,1
"Foothill","2015",1834,821,201,725,13,10,12,403,18,3606,2
"Foothill","2016",1979,949,233,628,10,12,8,376,13,3624,6
"Foothill","2017",1424,634,173,428,4,12,13,333,9,2736,3
"Harbor","2010",2214,1092,225,707,17,3,26,642,1,4633,0
"Harbor","2011",2360,1125,222,652,31,4,13,620,2,4781,0
"Harbor","2012",2295,951,265,646,19,5,11,571,4,4632,1
"Harbor","2013",1911,938,176,651,13,5,17,499,4,4166,0
"Harbor","2014",2033,906,173,533,5,8,29,532,7,4032,0
"Harbor","2015",2077,1044,227,694,10,8,16,557,12,4836,0
"Harbor","2016",2383,1058,236,469,20,11,13,697,14,4566,4
"Harbor","2017",1879,855,200,326,14,8,3,474,16,3411,7
"Hollenbeck","2010",2119,771,222,473,21,9,19,422,7,3311,1
"Hollenbeck","2011",1978,707,218,450,19,9,17,351,7,2763,0
"Hollenbeck","2012",1934,742,216,490,19,3,17,293,14,3321,0
"Hollenbeck","2013",1871,725,205,419,17,2,17,308,7,3104,1
"Hollenbeck","2014",1995,732,173,428,16,1,16,392,5,3115,1
"Hollenbeck","2015",2386,860,195,472,12,8,16,432,12,3577,0
"Hollenbeck","2016",2808,1017,202,402,14,10,17,541,8,4072,6
"Hollenbeck","2017",1999,776,156,247,12,9,11,477,4,2873,6
"Hollywood","2010",2289,964,296,635,11,7,7,345,33,4595,0
"Hollywood","2011",2375,966,289,632,8,9,14,275,34,4628,0
"Hollywood","2012",2287,921,348,777,6,20,17,301,36,4576,1
"Hollywood","2013",2141,841,372,743,7,15,9,244,26,4115,0
"Hollywood","2014",2225,859,306,601,7,14,11,300,30,4161,2
"Hollywood","2015",2430,989,318,702,8,40,8,354,23,4854,2
"Hollywood","2016",2551,1072,387,659,7,27,11,394,27,5326,20
"Hollywood","2017",1994,848,333,387,2,19,4,308,29,3995,8
"Mission","2010",2780,1101,409,937,14,16,24,629,17,4592,1
"Mission","2011",2761,1107,394,914,11,8,24,589,19,4669,0
"Mission","2012",2810,1039,416,901,13,9,34,585,21,4700,1
"Mission","2013",2417,1070,365,843,12,9,21,569,27,4894,0
"Mission","2014",2483,981,343,935,14,12,17,566,20,4498,0
"Mission","2015",2738,1051,320,973,17,31,24,603,10,4785,5
"Mission","2016",2733,1184,370,891,15,28,16,591,16,5077,10
"Mission","2017",2021,763,290,628,11,20,14,472,13,3532,3
"N Hollywood","2010",2243,1184,438,1113,13,10,25,377,6,5919,3
"N Hollywood","2011",2221,1194,368,1042,7,17,22,367,2,5427,0
"N Hollywood","2012",2308,1186,472,1191,9,17,14,428,9,5594,1
"N Hollywood","2013",2073,1041,399,1141,2,9,17,475,10,5720,2
"N Hollywood","2014",2107,1090,356,1033,7,19,22,431,10,5259,0
"N Hollywood","2015",2361,1123,399,1416,7,25,19,460,15,5890,3
"N Hollywood","2016",2274,1151,401,1202,12,16,5,456,6,6402,11
"N Hollywood","2017",1919,912,335,774,5,24,15,427,1,4590,15
"Newton","2010",3067,863,228,375,39,17,31,491,17,4836,0
"Newton","2011",2806,759,237,398,36,12,31,439,21,4588,0
"Newton","2012",2684,798,166,420,16,7,25,325,16,4405,0
"Newton","2013",2470,743,181,392,14,2,30,291,27,4441,1
"Newton","2014",2961,874,174,398,16,17,20,359,16,4343,1
"Newton","2015",3130,920,186,334,27,15,16,485,10,4470,3
"Newton","2016",3429,1073,219,328,20,13,27,570,12,5264,4
"Newton","2017",2591,860,123,204,14,19,21,478,4,4257,5
"Northeast","2010",2448,1181,393,925,8,8,14,471,19,5130,0
"Northeast","2011",2194,1091,377,981,12,5,23,355,25,4748,0
"Northeast","2012",2216,1072,322,887,12,4,26,370,16,4893,0
"Northeast","2013",1940,1039,337,893,9,6,11,383,16,4610,0
"Northeast","2014",2150,1143,317,735,7,7,11,423,22,4825,1
"Northeast","2015",2171,1194,318,883,13,14,14,432,20,5158,1
"Northeast","2016",2122,1050,296,709,10,11,18,490,15,5570,6
"Northeast","2017",1670,797,248,435,3,10,10,329,17,4067,4
"Olympic","2010",2340,771,293,692,4,20,20,448,4,4132,0
"Olympic","2011",2207,734,265,655,6,14,18,422,2,3634,0
"Olympic","2012",2369,714,244,813,14,7,20,366,8,3929,0
"Olympic","2013",2445,767,238,741,4,5,17,330,3,3710,0
"Olympic","2014",2848,873,269,702,10,7,14,330,5,4056,0
"Olympic","2015",2704,901,226,693,10,24,14,405,5,4789,1
"Olympic","2016",2787,1053,252,626,8,15,17,432,10,5250,13
"Olympic","2017",2084,740,179,377,8,14,8,321,7,4267,13
"Pacific","2010",1757,1116,317,735,2,10,12,483,3,6641,0
"Pacific","2011",1696,1030,315,654,7,6,9,467,12,6168,0
"Pacific","2012",1523,995,307,832,5,13,8,434,15,6162,0
"Pacific","2013",1665,936,253,810,6,2,9,396,21,5981,0
"Pacific","2014",1788,1045,261,785,1,4,11,397,31,6395,0
"Pacific","2015",1993,1045,287,957,10,11,10,350,26,6978,2
"Pacific","2016",1998,1038,281,831,7,12,7,364,20,7122,4
"Pacific","2017",1614,785,235,529,4,11,7,316,25,5112,3
"Rampart","2010",2844,806,235,484,17,8,23,548,11,3701,0
"Rampart","2011",2760,752,262,540,13,20,17,478,15,3550,0
"Rampart","2012",2616,727,279,605,20,14,24,436,21,3823,0
"Rampart","2013",2593,764,193,588,13,8,26,451,19,3455,1
"Rampart","2014",2778,825,220,553,14,13,26,368,17,3699,0
"Rampart","2015",2958,898,246,476,11,25,13,418,13,4151,1
"Rampart","2016",2815,968,230,427,22,20,15,432,13,4174,4
"Rampart","2017",2202,744,174,253,8,18,8,369,10,3196,7
"Southeast","2010",3684,1046,214,547,46,20,56,504,19,4905,1
"Southeast","2011",3681,994,280,532,46,17,54,519,23,4873,0
"Southeast","2012",3572,1030,225,550,43,14,47,519,21,4530,0
"Southeast","2013",3427,1052,185,464,47,15,36,449,11,4460,0
"Southeast","2014",3708,1059,187,417,41,12,33,511,29,4504,0
"Southeast","2015",3761,1188,198,401,34,16,24,651,29,4740,9
"Southeast","2016",3823,1270,189,390,26,13,41,636,39,4957,21
"Southeast","2017",2843,908,145,211,26,12,23,525,18,3825,14
"Southwest","2010",3876,1176,321,884,16,13,38,583,24,6689,1
"Southwest","2011",3592,1181,326,901,22,17,36,601,34,6181,0
"Southwest","2012",3747,1165,368,943,17,9,34,593,23,6174,0
"Southwest","2013",3477,1175,292,997,26,10,30,553,15,6088,1
"Southwest","2014",3839,1187,334,813,25,14,30,540,24,6098,3
"Southwest","2015",3963,1207,375,841,21,15,36,576,15,6728,1
"Southwest","2016",4046,1407,325,722,33,18,26,689,28,6759,12
"Southwest","2017",2930,1025,231,369,12,15,21,525,18,5010,10
"Topanga","2010",1950,946,494,924,7,9,21,533,7,4992,0
"Topanga","2011",1746,802,420,929,2,8,16,440,16,4709,0
"Topanga","2012",1625,812,420,966,5,8,16,408,12,4627,0
"Topanga","2013",1679,822,394,915,3,6,7,398,14,4809,0
"Topanga","2014",1810,773,320,889,2,15,16,335,10,4561,0
"Topanga","2015",1990,769,409,1146,4,21,12,415,11,5060,3
"Topanga","2016",2093,906,380,1140,9,26,10,455,14,5855,5
"Topanga","2017",1502,662,281,696,1,20,7,335,5,4126,3
"Van Nuys","2010",2158,1038,408,1004,6,18,22,486,3,4907,0
"Van Nuys","2011",2087,1045,383,972,5,10,24,503,5,4457,0
"Van Nuys","2012",2077,977,344,1083,5,27,22,489,8,4573,0
"Van Nuys","2013",1968,878,323,1079,4,12,12,391,4,4661,0
"Van Nuys","2014",2204,920,361,999,7,21,15,477,11,4388,0
"Van Nuys","2015",2376,1021,390,1172,8,30,18,479,9,4917,3
"Van Nuys","2016",2218,914,348,1114,7,33,22,470,15,5194,25
"Van Nuys","2017",1609,658,260,651,6,29,11,394,6,3915,16
"West LA","2010",1290,795,443,898,3,6,8,281,4,4426,0
"West LA","2011",1220,773,390,925,2,5,8,279,3,4981,0
"West LA","2012",1294,815,404,1091,3,4,6,228,9,4715,0
"West LA","2013",1316,719,332,909,3,10,4,254,10,4581,2
"West LA","2014",1331,750,345,920,4,10,3,283,4,4501,0
"West LA","2015",1680,830,462,1185,2,30,10,335,5,5108,1
"West LA","2016",1420,795,360,1097,1,24,3,329,4,5274,1
"West LA","2017",1005,533,223,546,2,24,13,180,3,3824,5
"West Valley","2010",1965,888,481,920,3,5,18,464,5,4471,0
"West Valley","2011",1793,875,400,983,5,4,16,463,7,4265,0
"West Valley","2012",1804,953,424,1014,4,5,17,362,22,4372,0
"West Valley","2013",1699,813,375,976,4,9,28,430,12,4005,0
"West Valley","2014",1678,724,319,888,4,6,15,391,35,3813,0
"West Valley","2015",1682,805,303,1033,5,23,9,429,16,4313,0
"West Valley","2016",1790,863,345,1049,5,24,16,437,16,4996,4
"West Valley","2017",1455,612,264,756,7,24,12,382,12,3553,1
"Wilshire","2010",1668,782,287,764,5,5,11,341,0,4296,0
"Wilshire","2011",1610,766,278,818,5,4,9,309,0,4455,0
"Wilshire","2012",1639,683,270,766,9,6,15,354,2,4278,0
"Wilshire","2013",1518,626,182,758,6,5,8,311,6,4377,0
"Wilshire","2014",1657,714,229,736,8,6,14,299,7,4211,1
"Wilshire","2015",1654,756,213,804,4,18,12,300,8,4493,0
"Wilshire","2016",1730,902,237,798,5,14,7,354,10,4911,1
"Wilshire","2017",1321,691,219,375,6,11,8,294,10,3904,2
